UserID,FriendID,FriendCount,HasMultipleFriends
128118761,491533,50,Multiple Friends
128118761,1366710,50,Multiple Friends
128118761,1377281,50,Multiple Friends
128118761,1397,50,Multiple Friends
128118761,171004,50,Multiple Friends
128118761,43903,50,Multiple Friends
128118761,462279,50,Multiple Friends
128118761,126090089,50,Multiple Friends
128118761,422065,50,Multiple Friends
128118761,47487,50,Multiple Friends
128118761,23968,50,Multiple Friends
128118761,2394,50,Multiple Friends
128118761,6245,50,Multiple Friends
128118761,6201,50,Multiple Friends
128118761,11669,50,Multiple Friends
128118761,2298,50,Multiple Friends
128118761,5662,50,Multiple Friends
128118761,108434955,50,Multiple Friends
128118761,153145,50,Multiple Friends
128118761,19140655,50,Multiple Friends
128118761,43252,50,Multiple Friends
128118761,1041,50,Multiple Friends
128118761,12177,50,Multiple Friends
128118761,59515,50,Multiple Friends
128118761,755387,50,Multiple Friends
128118761,395414,50,Multiple Friends
128118761,166363,50,Multiple Friends
128118761,128135495,50,Multiple Friends
128118761,20621543,50,Multiple Friends
128118761,8257,50,Multiple Friends
128118761,128121471,50,Multiple Friends
128118761,321249,50,Multiple Friends
128118761,153876,50,Multiple Friends
128118761,38743,50,Multiple Friends
128118761,402241,50,Multiple Friends
128118761,722,50,Multiple Friends
128118761,12404,50,Multiple Friends
128118761,18890066,50,Multiple Friends
128118761,16722454,50,Multiple Friends
16780364,1855971208,54,Multiple Friends
16780364,83639136,54,Multiple Friends
16780364,1874927023,54,Multiple Friends
16780364,15708157,54,Multiple Friends
16780364,60785,54,Multiple Friends
16780364,44397,54,Multiple Friends
16780364,23303,54,Multiple Friends
16780364,35310542,54,Multiple Friends
16780364,15436859,54,Multiple Friends
16780364,13073811,54,Multiple Friends
16780364,1109969,54,Multiple Friends
16780364,2521336500,54,Multiple Friends
16780364,2041166,54,Multiple Friends
16780364,818480467,54,Multiple Friends
16780364,4062665,54,Multiple Friends
16780364,52510,54,Multiple Friends
16780364,27853,54,Multiple Friends
16780364,555269829,54,Multiple Friends
16780364,1824267489,54,Multiple Friends
16780364,194911,54,Multiple Friends
16780364,176740,54,Multiple Friends
16780364,1828382,54,Multiple Friends
16780364,1280498,54,Multiple Friends
16780364,42999713,54,Multiple Friends
16780364,1572730,54,Multiple Friends
16780364,8984050,54,Multiple Friends
16780364,2606270285,54,Multiple Friends
16780364,20161,54,Multiple Friends
16780364,449601,54,Multiple Friends
16780364,97763,54,Multiple Friends
16780364,4597,54,Multiple Friends
16780364,1583735624,54,Multiple Friends
16780364,889580,54,Multiple Friends
16780364,10605,54,Multiple Friends
16780364,695095,54,Multiple Friends
16780364,84291,54,Multiple Friends
16780364,2030987914,54,Multiple Friends
16780364,32478260,54,Multiple Friends
16780364,18842927,54,Multiple Friends
16780364,22063,54,Multiple Friends
16780364,874330832,54,Multiple Friends
16780364,1041,54,Multiple Friends
16780364,19702065,54,Multiple Friends
16780364,1918095435,54,Multiple Friends
16780364,704698,54,Multiple Friends
16780364,1250699,54,Multiple Friends
16780364,34534545,54,Multiple Friends
16780364,39569,54,Multiple Friends
16780364,275572791,54,Multiple Friends
16780364,2582904496,54,Multiple Friends
16780364,21328291,54,Multiple Friends
16780364,708500,54,Multiple Friends
16780364,1107751036,54,Multiple Friends
16780364,3217143,54,Multiple Friends
303970470,1013535937,51,Multiple Friends
303970470,488792812,51,Multiple Friends
303970470,1785861053,51,Multiple Friends
303970470,454161951,51,Multiple Friends
303970470,285381070,51,Multiple Friends
303970470,1022540469,51,Multiple Friends
303970470,285144207,51,Multiple Friends
303970470,1320828317,51,Multiple Friends
